{0, 0, 0, 0, 28, 28, 28, 28, 28, 28, 28, 28, 0, 0, 0, 0, }, 
{0, 0, 0, 28, 30, 30, 30, 30, 30, 30, 30, 30, 28, 0, 0, 0, }, 
{0, 0, 28, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 28, 0, 0, }, 
{0, 28, 30, 30, 78, 78, 78, 78, 78, 78, 78, 78, 30, 30, 28, 0, }, 
{28, 30, 30, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 30, 30, 28, }, 
{28, 30, 30, 78, 78, 0, 0, 0, 0, 0, 0, 78, 78, 30, 30, 28, }, 
{28, 30, 30, 78, 78, 0, 0, 0, 0, 0, 0, 78, 78, 30, 30, 28, }, 
{28, 30, 30, 78, 78, 0, 0, 0, 0, 0, 0, 78, 78, 30, 30, 28, }, 
{28, 30, 30, 78, 78, 0, 0, 0, 0, 0, 0, 78, 78, 30, 30, 28, }, 
{28, 30, 30, 78, 78, 0, 0, 0, 0, 0, 0, 78, 78, 30, 30, 28, }, 
{28, 30, 30, 78, 78, 0, 0, 0, 0, 0, 0, 78, 78, 30, 30, 28, }, 
{28, 30, 30, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 30, 30, 28, }, 
{0, 28, 30, 30, 78, 78, 78, 78, 78, 78, 78, 78, 30, 30, 28, 0, }, 
{0, 0, 28, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 28, 0, 0, }, 
{0, 0, 0, 28, 30, 30, 30, 30, 30, 30, 30, 30, 28, 0, 0, 0, }, 
{0, 0, 0, 0, 28, 28, 28, 28, 28, 28, 28, 28, 0, 0, 0, 0, }, 
